symbol,name,market_cap
365040,TIGER AI코리아그로스액티브,63500000000
473590,ACE 미국주식베스트셀러,63500000000
415920,PLUS 글로벌희토류&전략자원생산기업,63200000000
495750,HANARO 코리아밸류업,63000000000
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),62900000000
0123S0,HANARO 26-12 은행채(AA+이상)액티브,62100000000
458030,WON 국공채머니마켓액티브,61800000000
371470,TIGER 차이나바이오테크SOLACTIVE,61400000000
278620,PLUS 단기채권액티브,61000000000
455660,ACE 미국하이일드액티브(H),61000000000
486830,HANARO 머니마켓액티브,60700000000
0007G0,PLUS 글로벌원자력밸류체인,60600000000
400970,TIGER Fn메타버스,60600000000
447430,ACE 주주환원가치주액티브,60400000000
0068M0,KODEX 미국S&P500버퍼6월액티브,60100000000
498860,RISE 코리아금융고배당,59600000000
455960,RISE 미국달러SOFR금리액티브(합성),59600000000
453640,KODEX 미국S&P500헬스케어,59600000000
458750,TIGER 미국배당다우존스타겟커버드콜1호,58900000000
139320,TIGER 금은선물(H),58700000000
152500,ACE 레버리지,58700000000
218420,KODEX 미국S&P500에너지(합성),58600000000
277640,TIGER 코스피대형주,58500000000
101280,KODEX 일본TOPIX100,58300000000
449770,KIWOOM 미국S&P500,56300000000
316670,KIWOOM 코스닥150,55800000000
139280,TIGER 경기방어,55500000000
395170,KODEX Top10동일가중,54800000000
0067V0,TIGER 차이나글로벌리더스TOP3+,54800000000
365000,TIGER 인터넷TOP10,54200000000
352540,KODEX 일본부동산리츠(H),54200000000
256750,KODEX 차이나심천ChiNext(합성),53800000000
426150,WON 대한민국국고채액티브,53500000000
452250,ACE 미국30년국채선물레버리지(합성 H),53400000000
295020,RISE 국채선물10년인버스,53400000000
375770,KODEX 탄소효율그린뉴딜,53200000000
0118S0,SOL 미국넥스트테크TOP10액티브,52900000000
0046Y0,ACE 미국배당퀄리티,52700000000
0098Z0,FOCUS 200,52500000000
0113P0,HK 머니마켓액티브,52500000000
140700,KODEX 보험,52300000000
114470,KIWOOM 국고채3년,52300000000
104530,KIWOOM 고배당,51800000000
252650,KODEX 200동일가중,51100000000
322410,HANARO K고배당,51000000000
438560,SOL 국고채3년,50800000000
472830,RISE 미국30년국채커버드콜(합성),50600000000
474800,KIWOOM 미국원유에너지기업,50600000000
491220,PLUS 200TR,50300000000
433880,PLUS TDF2060액티브 적격,50200000000
475260,ACE 2월만기자동연장회사채AA-이상액티브,50200000000
138910,KODEX 구리선물(H),50100000000
253250,KIWOOM 200선물레버리지,50100000000
200030,KODEX 미국S&P500산업재(합성),50100000000
469060,RISE 미국반도체NYSE,49900000000
0020H0,KoAct 글로벌양자컴퓨팅액티브,48800000000
